"ROI 1","ROI 2","ROI 3","ROI 4","ROI 5"
0.00494669,0.0199344,0.0039438,0.00510797,-0.00623117
0.00162881,0.0186526,0.00305414,0.00241321,-0.00688733
-4.05987e-05,0.0181625,0.00413159,0.00254111,-0.0081127
-4.05987e-05,0.0181625,0.00413159,0.00254111,-0.0081127
0.00185932,0.0180089,0.00430504,0.00324391,-0.00107353
0.00134341,0.0174593,0.00530427,0.00250066,-0.00160226
0.00366125,0.0158337,0.00284705,0.00500091,0.00492376
0.00286655,0.0167721,0.00227338,0.00418291,0.00450032
0.00283805,0.0167505,0.00273644,0.00487082,0.0093464
0.00283805,0.0167505,0.00273644,0.00487082,0.0093464
0.00451401,0.016966,0.00500364,0.0031123,0.0168257
0.00416104,0.0174001,0.00445429,0.00478859,0.0206718
0.00722257,0.0203049,0.00364436,0.00633583,0.0310372
0.00641077,0.0225268,0.00142284,0.00760782,0.0302665
0.00689453,0.0244166,0.00297177,0.00811773,0.030999
0.00997014,0.0290811,0.00660812,0.00988759,0.0333333
0.00997014,0.0290811,0.00660812,0.00988759,0.0333333
0.0108314,0.0327809,0.00680864,0.00926433,0.0320445
0.0108314,0.0327809,0.00680864,0.00926433,0.0320445
0.0109961,0.0343177,0.00447796,0.0111268,0.0319697
0.0118005,0.0341025,0.0047103,0.0111316,0.0323116
0.0121078,0.0360343,0.00438168,0.0108198,0.029258
0.0150677,0.0371372,0.00594101,0.0120377,0.0288045
0.0133266,0.0358214,0.0035996,0.0121086,0.025395
0.0154892,0.0373264,0.00634236,0.0109241,0.0255865
0.0154892,0.0373264,0.00634236,0.0109241,0.0255865
0.0137578,0.0372097,0.00724119,0.0107556,0.0230852
0.0133335,0.0364175,0.00471315,0.00990955,0.0215906
0.0136813,0.0364374,0.00579186,0.0104637,0.022821
0.0159812,0.0372925,0.00252801,0.0113269,0.0238486
0.0130997,0.0362155,0.0045124,0.0109303,0.0240424
0.0174035,0.0388629,0.00641687,0.0153819,0.0237921
0.0175942,0.0405408,0.00454448,0.0157058,0.0257162
0.0183258,0.0417099,0.00483552,0.0166601,0.0243299
0.0183391,0.0427678,0.00800738,0.0173802,0.0200645
0.0169373,0.0426466,0.00175339,0.0167475,0.0203887
0.0140336,0.0365736,0.00736804,0.0150069,0.0142763
0.0152196,0.0352223,0.00761007,0.0160114,0.0139431
0.0117381,0.0266916,0.00613583,0.013287,0.0104306
0.0115963,0.0255659,0.00675342,0.0122946,0.00720903
0.00843219,0.0208859,0.00766855,0.0116964,0.00675038
0.00843219,0.0208859,0.00766855,0.0116964,0.00675038
0.00919718,0.0198693,0.00651564,0.0123014,0.00482083
0.0070746,0.0187707,0.00591838,0.0118115,0.00265222
0.0070746,0.0187707,0.00591838,0.0118115,0.00265222
0.00705471,0.0171158,0.00411482,0.010373,0.00139521
0.00542732,0.0166988,0.00434472,0.0108373,-0.00321275
0.00638768,0.0164756,0.00409397,0.0108852,-0.000286045
0.00622163,0.017382,0.00669862,0.00896434,-0.00058847
0.00458892,0.0146212,0.00258273,0.0095694,0.000200923
0.00466012,0.0147226,0.00494465,0.0092323,-0.00207265
0.00485271,0.014714,0.00476238,0.00998184,0.000171145
0.00378375,0.0145438,0.00403782,0.00938141,0.000154314
0.00381501,0.013487,0.0038907,0.00811043,-0.00129126
0.00460196,0.0147536,0.00508217,0.00863896,-0.000608402
0.00581707,0.0148968,0.00361508,0.00913295,3.42069e-05
0.0030998,0.0120163,0.00126493,0.00768894,-0.000292832
0.00393141,0.0114782,0.00387142,0.00663199,-0.0015665
0.0032747,0.0114751,0.00435985,0.00822159,-0.000610177
0.0032747,0.0114751,0.00435985,0.00822159,-0.000610177
0.0032747,0.0114751,0.00435985,0.00822159,-0.000610177
0.00359235,0.00955971,0.00608785,0.00690789,-0.000643618
0.00217027,0.00869394,0.00486066,0.00723564,0.000210723
0.00191774,0.00811891,0.00197785,0.00678651,-0.00370636
0.000587056,0.00832006,0.00643003,0.00715653,-0.00200792
0.00436483,0.00756964,0.00626382,0.0060086,-0.00182503
1.15382e-05,0.00813683,0.00267219,0.00606505,-0.00032626
0.00152511,0.00716804,0.00541685,0.00596449,-0.00094841
-0.000265704,0.00950399,0.00354948,0.00626307,-0.00327718
0.000929502,0.008391,0.00241208,0.0041493,-0.00320417
0.00223582,0.00995737,0.00199911,0.00566235,-0.00428653
0.00223582,0.00995737,0.00199911,0.00566235,-0.00428653
0.000165783,0.00914828,0.0023626,0.00500351,-0.00488637
-0.000646877,0.00824786,0.00336856,0.00455842,-0.00315029
0.000343805,0.00770409,0.000967632,0.00452282,-0.00374859
-0.00108067,0.00614775,0.00348428,0.00376153,-0.00282585
-0.00209181,0.00714007,0.00289486,0.00320019,-0.00532521
-0.00254204,0.00574694,0.00252791,0.0028476,-0.00431911
-0.00254204,0.00574694,0.00252791,0.0028476,-0.00431911
-0.00108296,0.00685317,0.00199314,0.00353496,-0.00465884
-0.000450138,0.00625519,0.00281206,0.00297546,-0.00701898
-0.00174398,0.00631218,0.00323022,0.0030099,-0.00484548
-0.00313364,0.0074188,0.00358384,0.002881,-0.00505509
-0.00385958,0.00595488,-0.00112659,0.00177055,-0.00552988
-0.00254675,0.00490625,0.00251757,0.00188282,-0.0076981
-0.00309971,0.00454939,0.000484838,0.00232069,-0.00636726
-0.00309971,0.00454939,0.000484838,0.00232069,-0.00636726
-0.00381088,0.00447013,0.00186724,0.00317115,-0.0109386
-0.00233425,0.004198,0.00214404,0.00145851,-0.00679047
-0.00271842,0.00204371,0.000564387,0.00209546,-0.00973027
-0.00254107,0.00418858,-0.000267596,0.00168475,-0.00687672
-0.00266085,0.00281034,0.000625705,0.00200052,-0.00853813
-0.0040334,0.00192814,-0.000611567,0.0015955,-0.00753518
-0.00579264,0.00319424,0.000635596,0.00122269,-0.00792554
-0.00335546,0.00280561,0.000738703,0.00115823,-0.00876876
-0.00317249,0.00217932,0.000236384,-0.00016346,-0.00808656
-0.00502513,0.00168441,-0.00016168,0.000623185,-0.00881443
-0.00502513,0.00168441,-0.00016168,0.000623185,-0.00881443
-0.00480411,0.0021598,-0.000685237,0.000647222,-0.00687303
-0.0051233,0.000293506,-0.000630497,0.000148447,-0.00819017
-0.00457257,0.00112453,-0.00163443,-0.000607035,-0.00940565
-0.00417638,0.000446645,-0.00281883,-0.00127483,-0.00881587
-0.00413598,0.000922661,-0.00108928,-0.000868524,-0.00779171
-0.00413598,0.000922661,-0.00108928,-0.000868524,-0.00779171
-0.00808553,0.000510584,-0.00328277,-0.000438312,-0.0096072
-0.00413632,-0.000549045,-0.000851802,-0.000440374,-0.00934263
-0.00675847,8.33324e-05,0.00147664,-0.000773897,-0.00977165
-0.00631444,-7.71363e-05,-0.000868561,-0.000882338,-0.0109125
-0.00652079,-0.000892344,0.000757752,-0.000930171,-0.0116126
-0.00599807,-0.00172017,-0.000211139,-0.000421159,-0.0094011
-0.00599807,-0.00172017,-0.000211139,-0.000421159,-0.0094011
-0.00703381,-0.00259904,-0.00192927,-0.00262152,-0.00965042
-0.00800597,-0.00383627,-0.00180928,-0.00183506,-0.0121263
-0.00517208,-0.002368,-0.00218841,-0.00124917,-0.0120607
-0.00776756,-0.00409864,-0.00224819,-0.00126542,-0.00953611
-0.0048611,-0.00216006,-0.00179634,-0.00205793,-0.0100241
-0.00754713,-0.00413668,-0.00408096,-0.00224367,-0.0121492
